Series,PCA_Weight_02092023,PCA_Weight_03242023,PCA_Weight_04242023,PCA_Weight_05122023,PCA_Weight_05172023,PCA_Weight_05232023,PCA_Weight_06072023,PCA_Weight_07032023,PCA_Weight_11132023,PCA_Weight_12182023,PCA_Weight_03272024,PCA_Weight_04232024,PCA_Weight_05142024,PCA_Weight_05162024,PCA_Weight_05232024,PCA_Weight_06062024,PCA_Weight_07012024,PCA_Weight_08142024
BusinessApplications,0.022183162,0.022744185,0.021608105,0.017461302,0.017653718,0.018213881,0.018355693,0.017374876,0.015577669,0.015564872,0.015131877,0.014536144,0.01808947,0.017487448,0.017243914,0.017873273,0.018202323,0.018610135
ConstructionSpending,0.185265336,0.184794817,0.184448619,0.183153398,0.182785453,0.182318028,0.183164588,0.189605423,0.189635637,0.189637612,0.189713345,0.189968502,0.189649754,0.189806375,0.190043328,0.190227777,0.191125595,0.231485853
DurableGoodsNewOrders,0.278916829,0.279155172,0.278990967,0.280693741,0.280599465,0.280624422,0.280045318,0.278919873,0.27887566,0.278876291,0.278944454,0.279029975,0.277285857,0.277204578,0.277311615,0.27705813,0.276818667,0.265299304
InternationalTrade_Exports,0.363780034,0.363689354,0.364007863,0.363256215,0.363134825,0.363580808,0.363203581,0.362619182,0.362620963,0.362622991,0.362662506,0.362206713,0.362974612,0.363032797,0.363050698,0.362843404,0.362841492,0.365274075
InternationalTrade_Imports,0.340372869,0.340507228,0.340763694,0.341108812,0.3411936,0.341573365,0.34031143,0.340021733,0.340077497,0.340077593,0.339869904,0.339617394,0.340414634,0.340380113,0.340001423,0.339609993,0.339706232,0.344543232
ManuInventories,0.336689375,0.336886471,0.337723897,0.338266642,0.338157909,0.338373829,0.339413404,0.338573121,0.338562015,0.338560193,0.338571982,0.338754533,0.338316335,0.338544538,0.338188288,0.338284437,0.338260197,0.329663755
ManuNewOrders,0.370436995,0.370550935,0.370269915,0.375023168,0.374910862,0.374973224,0.374606235,0.373444024,0.373405033,0.373405254,0.373503254,0.373707839,0.37109094,0.371060816,0.37111615,0.37091484,0.370670998,0.363048463
NewHomesForSale,0.167463333,0.167584008,0.168448879,0.165334593,0.165388625,0.165616518,0.166509518,0.167202919,0.167231591,0.167228806,0.167078514,0.16702631,0.168757732,0.168506342,0.166922307,0.167060258,0.167142997,0.197185831
NewHomesSold,0.072437401,0.071908243,0.072289507,0.075492829,0.07482843,0.06919057,0.068224039,0.068512215,0.068514853,0.068519515,0.068672615,0.06775025,0.066679841,0.068323586,0.072703132,0.072835641,0.07289488,0.046023617
ResConstPermits,0.238852748,0.238701699,0.239242923,0.237534122,0.237340353,0.237432132,0.237032038,0.237578302,0.23763241,0.237633539,0.23773625,0.237389876,0.238026093,0.236972553,0.237666791,0.237861701,0.237912452,0.22513326
ResConstUnitsCompleted,0.04665449,0.046442879,0.04652813,0.046262535,0.047461511,0.047052953,0.047133885,0.047981773,0.048037071,0.048039175,0.047944127,0.047633031,0.047910654,0.048764634,0.049319767,0.04972667,0.049637925,0.07190351
ResConstUnitsStarted,0.219544248,0.219434876,0.219233976,0.218967497,0.219720356,0.219765049,0.219376342,0.219447964,0.219442491,0.219441725,0.219418455,0.219922074,0.220837543,0.220785057,0.221049165,0.221236492,0.221024744,0.215560726
RetailInventories,0.301276029,0.301082896,0.301870108,0.298837631,0.299073827,0.298693783,0.29961453,0.299585198,0.299607053,0.299605928,0.299502742,0.299261637,0.299627755,0.299341565,0.299102549,0.2991689,0.299125487,0.283153088
SalesForRetailAndFood,0.275865393,0.275613872,0.272169641,0.272071058,0.271752555,0.272062307,0.271627487,0.271971617,0.271990885,0.27199142,0.272191615,0.272851075,0.273819648,0.274613567,0.274888713,0.274843238,0.274726305,0.257876225
WholesaleInventories,0.284657864,0.285016035,0.28570741,0.284803846,0.285035955,0.285265624,0.286297668,0.28544396,0.285457452,0.285455881,0.285334198,0.285333812,0.285689934,0.285508109,0.284997438,0.285441337,0.285518207,0.305071968
